present-HL;present-LL;absent;AnyOnHighP-HL;AnyOnHighP-LL;AnyOnlowP;highP-HL;highPOther-HL;lowP-HL;highP-LL;highPOther-LL;lowP-LL;Distance0-HL;Distance1-HL;Distance2-HL;Distance3-HL;Distance4-HL;Distance0-LL;Distance1-LL;Distance2-LL;Distance3-LL;Distance4-LL;highP-HL-swap;highPOther-HL-swap;lowP-HL-swap;highP-LL-swap;highPOther-LL-swap;lowP-LL-swap;swap;same
3,642384106;4,446854664;4,810112102;1,86440678;4,613864396;4,000982162;3,728813559;4,545454545;3,308823529;4,682274247;0;4,693140794;3,728813559;5,555555556;0;4,347826087;4,545454545;4,682274247;3,333333333;5,376344086;5,319148936;0;4,511278195;4,761904762;2,681992337;4,62633452;0;4,832713755;4,06626506;4,037800687
6,355932203;6,932773109;4,99035547;8,197024771;4,924722105;8,48372058;5,977382876;4,347826087;7,52688172;5,501618123;10,41666667;9,440559441;5,977382876;8,421052632;6,382978723;7,777777778;4,347826087;5,501618123;4,210526316;8,333333333;15,78947368;10,41666667;5,614035088;4,444444444;7,462686567;5,084745763;10,86956522;9,818181818;6,011730205;7,001647446
5,630865485;8,167539267;7,03125;5,929487179;6,357526882;6,794425087;5,608974359;4,166666667;5,923344948;8,548387097;6,25;7,665505226;5,608974359;6,25;3,125;8,421052632;4,166666667;8,548387097;7,291666667;5,208333333;10,52631579;6,25;5,904059041;2,222222222;5,474452555;5,714285714;4,444444444;7,749077491;8,379120879;5,986509275
3,8585209;4,511278195;2,951408856;2,955277156;3,401006109;4,480286738;3,782894737;2,173913043;4,301075269;4,628099174;2,127659574;4,659498208;3,782894737;4,255319149;4,301075269;4,347826087;2,173913043;4,628099174;6,382978723;2,173913043;5,376344086;2,127659574;3,296703297;2,222222222;4,379562044;4,513888889;2,272727273;4,868913858;4,309063893;4,114189757
9,279475983;8,667388949;10,96894767;8,471170751;10,51521013;10,05067116;8,431703204;12,76595745;10,50724638;8,26446281;8,510638298;9,594095941;8,431703204;7,608695652;19,56521739;4,347826087;12,76595745;8,26446281;12,22222222;6,593406593;10;8,510638298;9,398496241;13,33333333;10,86142322;7,382550336;8,888888889;9,961685824;8,066971081;9,475465313
9,138655462;10,86729363;10,47149123;10,37621359;4,253611557;14,16083916;8,252427184;0;12,58741259;8,507223114;12,5;15,73426573;8,252427184;8,421052632;14,73684211;14,58333333;0;8,507223114;18,08510638;8,333333333;20,83333333;12,5;8,333333333;0;12,04379562;9,225092251;12,76595745;14,54545455;8,888888889;10,68124474
8,66807611;9,302325581;8,201058201;13,58893841;9,546791213;9,202942135;8,427876823;10,63829787;8,865248227;8,455284553;18,75;9,540636042;8,427876823;7,446808511;10,63829787;8,510638298;10,63829787;8,455284553;9,677419355;9,375;9,574468085;18,75;8,148148148;9,090909091;8,955223881;8,783783784;17,0212766;8,61423221;9;8,976510067
9,944751381;7,625272331;5,882352941;8,892755911;7,654987474;10,51323571;9,274873524;8,510638298;11,69811321;6,79933665;8,510638298;9,328358209;9,274873524;15,55555556;10,11235955;9,302325581;8,510638298;6,79933665;14,60674157;8,791208791;4,545454545;8,510638298;10,33210332;8,695652174;11,37254902;9,027777778;6,976744186;9,727626459;6,787330317;9,913793103
15,66137566;13,41077086;9,685863874;15,98805646;18,46108531;13,88621201;15,30944625;23,40425532;15,14084507;13,51791531;16,66666667;12,63157895;15,30944625;16,66666667;16,12903226;12,63157895;23,40425532;13,51791531;12,5;14,73684211;10,63829787;16,66666667;14,96350365;23,40425532;15,49815498;13,71841155;16,27906977;12,54480287;14,40798859;14,60957179
5,153508772;5,251641138;5,99049599;5,287380551;2,364864865;4,939083298;6,408094435;0;3,308823529;4,72972973;4,166666667;6,569343066;6,408094435;4,347826087;3,225806452;2,298850575;0;4,72972973;5,434782609;7,865168539;6,451612903;4,166666667;6,909090909;0;3,396226415;5,769230769;4,347826087;6,766917293;4,797601199;5,435720449
